rhs_code,class_label,color_name,R,G,B,Lab_L,Lab_a,Lab_b,hex,source,filename
202A,BLACK_202A,BLACK,55,56,59,23.53,0.28,-2.02,#37383b,photo_extracted,BLACK_GROUP_202A.JPG
202B,BLACK_202B,BLACK,122,128,134,53.27,-0.96,-4.01,#7a8086,photo_extracted,BLACK_GROUP_202B.JPG
202C,BLACK_202C,BLACK,161,164,169,67.27,-0.09,-2.96,#a1a4a9,photo_extracted,BLACK_GROUP_202C.JPG
202D,BLACK_202D,BLACK,186,193,198,77.67,-1.45,-3.35,#bac1c6,photo_extracted,BLACK_GROUP_202D.JPG
203A,BLACK_203A,BLACK,78,78,80,33.24,0.44,-1.18,#4e4e50,photo_extracted,BLACK_GROUP_203A.JPG
203B,BLACK_203B,BLACK,61,58,62,24.85,2.19,-2.01,#3d3a3e,photo_extracted,BLACK_GROUP_203B.JPG
203C,BLACK_203C,BLACK,47,48,59,20.18,2.39,-7.09,#2f303b,photo_extracted,BLACK_GROUP_203C.JPG
203D,BLACK_203D,BLACK,50,55,67,23.05,1.04,-8.14,#323743,photo_extracted,BLACK_GROUP_203D.JPG
111A,BLUEGREEN_111A,BLUEGREEN,45,129,183,51.47,-6.49,-35.54,#2d81b7,photo_extracted,BLUE-GREEN_GROUP_111A.JPG
111B,BLUEGREEN_111B,BLUEGREEN,118,180,210,70.28,-12.07,-21.39,#76b4d2,photo_extracted,BLUE-GREEN_GROUP_111B.JPG
111C,BLUEGREEN_111C,BLUEGREEN,119,180,210,70.33,-11.82,-21.31,#77b4d2,photo_extracted,BLUE-GREEN_GROUP_111C.JPG
111D,BLUEGREEN_111D,BLUEGREEN,145,191,212,74.85,-10.17,-15.43,#91bfd4,photo_extracted,BLUE-GREEN_GROUP_111D.JPG
112A,BLUEGREEN_112A,BLUEGREEN,174,197,214,78.34,-4.19,-11.09,#aec5d6,photo_extracted,BLUE-GREEN_GROUP_112A.JPG
112B,BLUEGREEN_112B,BLUEGREEN,180,197,210,78.63,-3.13,-8.45,#b4c5d2,photo_extracted,BLUE-GREEN_GROUP_112B.JPG
112C,BLUEGREEN_112C,BLUEGREEN,184,197,206,78.8,-2.65,-6.02,#b8c5ce,photo_extracted,BLUE-GREEN_GROUP_112C.JPG
112D,BLUEGREEN_112D,BLUEGREEN,193,202,212,80.92,-1.13,-6.03,#c1cad4,photo_extracted,BLUE-GREEN_GROUP_112D.JPG
113A,BLUEGREEN_113A,BLUEGREEN,52,135,179,53.29,-10.39,-30.38,#3487b3,photo_extracted,BLUE-GREEN_GROUP_113A.JPG
113B,BLUEGREEN_113B,BLUEGREEN,72,153,194,59.94,-12.17,-28.54,#4899c2,photo_extracted,BLUE-GREEN_GROUP_113B.JPG
113C,BLUEGREEN_113C,BLUEGREEN,120,180,208,70.31,-12.11,-20.24,#78b4d0,photo_extracted,BLUE-GREEN_GROUP_113C.JPG
113D,BLUEGREEN_113D,BLUEGREEN,184,208,210,81.81,-7.61,-3.72,#b8d0d2,photo_extracted,BLUE-GREEN_GROUP_113D.JPG
114A,BLUEGREEN_114A,BLUEGREEN,23,79,115,31.83,-4.44,-25.73,#174f73,photo_extracted,BLUE-GREEN_GROUP_114A.JPG
114B,BLUEGREEN_114B,BLUEGREEN,29,103,142,41.08,-8.13,-27.77,#1d678e,photo_extracted,BLUE-GREEN_GROUP_114B.JPG
114C,BLUEGREEN_114C,BLUEGREEN,49,131,175,51.81,-9.94,-30.39,#3183af,photo_extracted,BLUE-GREEN_GROUP_114C.JPG
114D,BLUEGREEN_114D,BLUEGREEN,49,131,175,51.81,-9.94,-30.39,#3183af,photo_extracted,BLUE-GREEN_GROUP_114D.JPG
115A,BLUEGREEN_115A,BLUEGREEN,91,140,175,56.16,-6.73,-23.52,#5b8caf,photo_extracted,BLUE-GREEN_GROUP_115A.JPG
115B,BLUEGREEN_115B,BLUEGREEN,111,155,185,61.93,-7.11,-20.26,#6f9bb9,photo_extracted,BLUE-GREEN_GROUP_115B.JPG
115C,BLUEGREEN_115C,BLUEGREEN,130,168,193,66.98,-6.83,-16.97,#82a8c1,photo_extracted,BLUE-GREEN_GROUP_115C.JPG
115D,BLUEGREEN_115D,BLUEGREEN,162,188,207,74.92,-4.69,-12.49,#a2bccf,photo_extracted,BLUE-GREEN_GROUP_115D.JPG
116A,BLUEGREEN_116A,BLUEGREEN,60,100,137,41.03,-2.62,-24.76,#3c6489,photo_extracted,BLUE-GREEN_GROUP_116A.JPG
116B,BLUEGREEN_116B,BLUEGREEN,73,117,156,47.67,-3.61,-25.7,#49759c,photo_extracted,BLUE-GREEN_GROUP_116B.JPG
116C,BLUEGREEN_116C,BLUEGREEN,93,145,179,57.88,-7.88,-23.16,#5d91b3,photo_extracted,BLUE-GREEN_GROUP_116C.JPG
116D,BLUEGREEN_116D,BLUEGREEN,127,173,199,68.4,-8.86,-18.14,#7fadc7,photo_extracted,BLUE-GREEN_GROUP_116D.JPG
117A,BLUEGREEN_117A,BLUEGREEN,128,179,198,70.11,-12.06,-15.01,#80b3c6,photo_extracted,BLUE-GREEN_GROUP_117A.JPG
117B,BLUEGREEN_117B,BLUEGREEN,145,189,202,73.98,-11.51,-11.28,#91bdca,photo_extracted,BLUE-GREEN_GROUP_117B.JPG
117C,BLUEGREEN_117C,BLUEGREEN,168,200,205,78.48,-9.59,-6.06,#a8c8cd,photo_extracted,BLUE-GREEN_GROUP_117C.JPG
117D,BLUEGREEN_117D,BLUEGREEN,175,200,201,78.83,-8.19,-3.34,#afc8c9,photo_extracted,BLUE-GREEN_GROUP_117D.JPG
118A,BLUEGREEN_118A,BLUEGREEN,58,151,185,58.54,-16.33,-25.65,#3a97b9,photo_extracted,BLUE-GREEN_GROUP_118A.JPG
118B,BLUEGREEN_118B,BLUEGREEN,89,166,192,64.32,-16.45,-20.63,#59a6c0,photo_extracted,BLUE-GREEN_GROUP_118B.JPG
118C,BLUEGREEN_118C,BLUEGREEN,124,181,199,70.49,-13.95,-15.0,#7cb5c7,photo_extracted,BLUE-GREEN_GROUP_118C.JPG
118D,BLUEGREEN_118D,BLUEGREEN,184,206,204,81.12,-7.77,-1.52,#b8cecc,photo_extracted,BLUE-GREEN_GROUP_118D.JPG
119A,BLUEGREEN_119A,BLUEGREEN,98,145,161,57.48,-11.64,-13.47,#6291a1,photo_extracted,BLUE-GREEN_GROUP_119A.JPG
119B,BLUEGREEN_119B,BLUEGREEN,117,166,180,65.24,-12.75,-12.43,#75a6b4,photo_extracted,BLUE-GREEN_GROUP_119B.JPG
119C,BLUEGREEN_119C,BLUEGREEN,134,178,188,69.85,-12.26,-9.86,#86b2bc,photo_extracted,BLUE-GREEN_GROUP_119c.JPG
119D,BLUEGREEN_119D,BLUEGREEN,159,196,202,76.75,-10.96,-7.08,#9fc4ca,photo_extracted,BLUE-GREEN_GROUP_119D.JPG
120A,BLUEGREEN_120A,BLUEGREEN,65,162,186,62.09,-20.74,-20.76,#41a2ba,photo_extracted,BLUE-GREEN_GROUP_120A.JPG
120B,BLUEGREEN_120B,BLUEGREEN,86,174,194,66.63,-20.69,-18.24,#56aec2,photo_extracted,BLUE-GREEN_GROUP_120B.JPG
120C,BLUEGREEN_120C,BLUEGREEN,124,185,196,71.53,-16.8,-11.79,#7cb9c4,photo_extracted,BLUE-GREEN_GROUP_120C.JPG
120D,BLUEGREEN_120D,BLUEGREEN,180,202,198,79.63,-8.19,-0.53,#b4cac6,photo_extracted,BLUE-GREEN_GROUP_120D.JPG
121A,BLUEGREEN_121A,BLUEGREEN,114,175,191,68.02,-15.51,-14.37,#72afbf,photo_extracted,BLUE-GREEN_GROUP_121A.JPG
121B,BLUEGREEN_121B,BLUEGREEN,135,188,199,73.05,-14.59,-11.1,#87bcc7,photo_extracted,BLUE-GREEN_GROUP_121B.JPG
121C,BLUEGREEN_121C,BLUEGREEN,152,191,197,74.8,-11.6,-7.3,#98bfc5,photo_extracted,BLUE-GREEN_GROUP_121C.JPG
121D,BLUEGREEN_121D,BLUEGREEN,180,199,199,78.85,-6.43,-2.2,#b4c7c7,photo_extracted,BLUE-GREEN_GROUP_121D.JPG
122A,BLUEGREEN_122A,BLUEGREEN,136,169,174,67.02,-10.11,-6.3,#88a9ae,photo_extracted,BLUE-GREEN_GROUP_122A.JPG
122B,BLUEGREEN_122B,BLUEGREEN,140,172,176,68.18,-9.99,-5.67,#8cacb0,photo_extracted,BLUE-GREEN_GROUP_122B.JPG
122C,BLUEGREEN_122C,BLUEGREEN,167,188,187,74.68,-7.36,-1.93,#a7bcbb,photo_extracted,BLUE-GREEN_GROUP_122C.JPG
122D,BLUEGREEN_122D,BLUEGREEN,189,202,200,80.31,-4.8,-0.53,#bdcac8,photo_extracted,BLUE-GREEN_GROUP_122D.JPG
123A,BLUEGREEN_123A,BLUEGREEN,139,192,193,74.21,-16.92,-6.08,#8bc0c1,photo_extracted,BLUE-GREEN_GROUP_123A.JPG
123B,BLUEGREEN_123B,BLUEGREEN,156,199,199,77.3,-14.09,-4.66,#9cc7c7,photo_extracted,BLUE-GREEN_GROUP_123B.JPG
123C,BLUEGREEN_123C,BLUEGREEN,180,207,202,81.07,-10.0,-0.57,#b4cfca,photo_extracted,BLUE-GREEN_GROUP_123C.JPG
123D,BLUEGREEN_123D,BLUEGREEN,189,206,201,81.39,-6.7,0.51,#bdcec9,photo_extracted,BLUE-GREEN_GROUP_123D.JPG
124A,BLUEGREEN_124A,BLUEGREEN,70,170,167,64.03,-29.49,-7.18,#46aaa7,photo_extracted,BLUE-GREEN_GROUP_124A.JPG
124B,BLUEGREEN_124B,BLUEGREEN,109,188,187,71.42,-24.49,-7.11,#6dbcbb,photo_extracted,BLUE-GREEN_GROUP_124B.JPG
124C,BLUEGREEN_124C,BLUEGREEN,137,191,185,73.6,-18.82,-2.65,#89bfb9,photo_extracted,BLUE-GREEN_GROUP_124C.JPG
124D,BLUEGREEN_124D,BLUEGREEN,190,209,204,82.33,-7.34,0.29,#bed1cc,photo_extracted,BLUE-GREEN_GROUP_124D.JPG
100A,BLUE_100A,BLUE,22,67,169,31.92,25.48,-58.67,#1643a9,photo_extracted,BLUE_GROUP_100A.jpg
100B,BLUE_100B,BLUE,78,114,199,49.22,13.58,-48.19,#4e72c7,photo_extracted,BLUE_GROUP_100B.jpg
100C,BLUE_100C,BLUE,124,146,203,60.92,6.48,-31.87,#7c92cb,photo_extracted,BLUE_GROUP_100C.jpg
100D,BLUE_100D,BLUE,177,188,215,76.2,1.78,-14.8,#b1bcd7,photo_extracted,BLUE_GROUP_100D.jpg
101A,BLUE_101A,BLUE,24,78,171,35.17,18.98,-54.57,#184eab,photo_extracted,BLUE_GROUP_101A.jpg
101B,BLUE_101B,BLUE,66,110,193,47.18,11.81,-48.04,#426ec1,photo_extracted,BLUE_GROUP_101B.jpg
101C,BLUE_101C,BLUE,123,153,200,62.64,1.38,-27.52,#7b99c8,photo_extracted,BLUE_GROUP_101C.jpg
101D,BLUE_101D,BLUE,175,193,214,77.35,-1.75,-12.56,#afc1d6,photo_extracted,BLUE_GROUP_101D.jpg
102A,BLUE_102A,BLUE,14,41,106,18.88,17.16,-40.73,#0e296a,photo_extracted,BLUE_GROUP_102A.jpg
102B,BLUE_102B,BLUE,37,67,139,30.09,15.13,-43.4,#25438b,photo_extracted,BLUE_GROUP_102B.jpg
102C,BLUE_102C,BLUE,48,79,157,35.31,15.66,-45.92,#304f9d,photo_extracted,BLUE_GROUP_102C.jpg
102D,BLUE_102D,BLUE,75,106,178,45.66,10.82,-41.74,#4b6ab2,photo_extracted,BLUE_GROUP_102D.jpg
103A,BLUE_103A,BLUE,22,28,58,11.32,7.92,-20.34,#161c3a,photo_extracted,BLUE_GROUP_103A.jpg
103B,BLUE_103B,BLUE,29,47,114,21.98,17.99,-40.84,#1d2f72,photo_extracted,BLUE_GROUP_103B.jpg
103C,BLUE_103C,BLUE,18,40,106,18.74,18.31,-40.95,#12286a,photo_extracted,BLUE_GROUP_103C.jpg
103D,BLUE_103D,BLUE,39,75,146,33.0,12.73,-42.99,#274b92,photo_extracted,BLUE_GROUP_103D.jpg
104A,BLUE_104A,BLUE,7,46,117,21.14,17.71,-44.15,#072e75,photo_extracted,BLUE_GROUP_104A.jpg
104B,BLUE_104B,BLUE,49,91,164,39.27,10.55,-43.76,#315ba4,photo_extracted,BLUE_GROUP_104B.jpg
104C,BLUE_104C,BLUE,70,115,184,48.29,6.28,-41.07,#4673b8,photo_extracted,BLUE_GROUP_104C.jpg
104D,BLUE_104D,BLUE,145,181,225,72.56,-1.54,-25.96,#91b5e1,photo_extracted,BLUE_GROUP_104D.jpg
105A,BLUE_105A,BLUE,10,49,130,23.24,21.28,-48.95,#0a3182,photo_extracted,BLUE_GROUP_105A.jpg
105B,BLUE_105B,BLUE,2,48,127,22.51,20.25,-48.28,#02307f,photo_extracted,BLUE_GROUP_105B.jpg
105C,BLUE_105C,BLUE,9,88,186,38.87,17.52,-57.44,#0958ba,photo_extracted,BLUE_GROUP_105C.jpg
105D,BLUE_105D,BLUE,48,113,186,46.95,4.64,-44.4,#3071ba,photo_extracted,BLUE_GROUP_105D.jpg
106A,BLUE_106A,BLUE,91,144,198,58.27,-2.02,-33.32,#5b90c6,photo_extracted,BLUE_GROUP_106A.jpg
106B,BLUE_106B,BLUE,128,165,208,66.56,-1.83,-25.92,#80a5d0,photo_extracted,BLUE_GROUP_106B.jpg
106C,BLUE_106C,BLUE,162,183,207,73.58,-2.0,-14.5,#a2b7cf,photo_extracted,BLUE_GROUP_106C.jpg
106D,BLUE_106D,BLUE,203,209,220,83.69,0.06,-6.13,#cbd1dc,photo_extracted,BLUE_GROUP_106D.jpg
107A,BLUE_107A,BLUE,11,93,183,40.11,13.07,-53.67,#0b5db7,photo_extracted,BLUE_GROUP_107A.jpg
107B,BLUE_107B,BLUE,45,122,189,49.68,-0.15,-41.81,#2d7abd,photo_extracted,BLUE_GROUP_107B.jpg
107C,BLUE_107C,BLUE,127,170,213,68.07,-3.52,-26.37,#7faad5,photo_extracted,BLUE_GROUP_107C.jpg
107D,BLUE_107D,BLUE,151,188,225,74.81,-3.67,-22.49,#97bce1,photo_extracted,BLUE_GROUP_107D.jpg
108A,BLUE_108A,BLUE,184,198,207,79.09,-2.98,-6.13,#b8c6cf,photo_extracted,BLUE_GROUP_108A.jpg
108B,BLUE_108B,BLUE,193,202,209,80.84,-1.72,-4.54,#c1cad1,photo_extracted,BLUE_GROUP_108B.jpg
108C,BLUE_108C,BLUE,195,202,207,80.93,-1.44,-3.32,#c3cacf,photo_extracted,BLUE_GROUP_108C.jpg
108D,BLUE_108D,BLUE,191,192,192,77.63,-0.35,-0.12,#bfc0c0,photo_extracted,BLUE_GROUP_108D.jpg
110A,BLUE_110A,BLUE,11,91,154,37.64,2.55,-40.44,#0b5b9a,photo_extracted,BLUE_GROUP_110A.jpg
110B,BLUE_110B,BLUE,30,125,187,50.13,-4.25,-39.96,#1e7dbb,photo_extracted,BLUE_GROUP_110B.jpg
110C,BLUE_110C,BLUE,107,154,186,61.46,-7.34,-21.56,#6b9aba,photo_extracted,BLUE_GROUP_110C.jpg
110D,BLUE_110D,BLUE,149,189,210,74.47,-8.44,-14.88,#95bdd2,photo_extracted,BLUE_GROUP_110D.jpg
99A,BLUE_99A,BLUE,13,26,92,13.21,22.12,-40.77,#0d1a5c,photo_extracted,BLUE_GROUP_99A.jpg
99B,BLUE_99B,BLUE,15,36,124,19.3,28.25,-51.63,#0f247c,photo_extracted,BLUE_GROUP_99B.jpg
99C,BLUE_99C,BLUE,16,54,158,27.34,29.55,-59.54,#10369e,photo_extracted,BLUE_GROUP_99C.jpg
99D,BLUE_99D,BLUE,24,68,172,32.49,26.13,-59.52,#1844ac,photo_extracted,BLUE_GROUP_99D.jpg
N109A,BLUE_N109A,BLUE,2,98,186,41.68,10.67,-52.9,#0262ba,photo_extracted,BLUE_GROUP_N109A.jpg
N109B,BLUE_N109B,BLUE,3,118,198,48.32,2.81,-49.17,#0376c6,photo_extracted,BLUE_GROUP_N109B.jpg
N109C,BLUE_N109C,BLUE,68,153,211,60.53,-7.25,-37.16,#4499d3,photo_extracted,BLUE_GROUP_N109C.jpg
N109D,BLUE_N109D,BLUE,138,186,218,73.27,-7.96,-21.1,#8abada,photo_extracted,BLUE_GROUP_N109D.jpg
200A,BROWN_200A,BROWN,76,64,61,28.22,4.6,3.75,#4c403d,photo_extracted,BROWN_GROUP_200A.JPG
200B,BROWN_200B,BROWN,80,56,48,26.0,9.45,9.22,#503830,photo_extracted,BROWN_GROUP_200B.JPG
200C,BROWN_200C,BROWN,92,63,51,29.59,10.96,12.42,#5c3f33,photo_extracted,BROWN_GROUP_200C.JPG
200D,BROWN_200D,BROWN,117,81,65,37.93,12.91,15.43,#755141,photo_extracted,BROWN_GROUP_200D.JPG
201A,GRAY_201A,GRAY,132,123,117,52.24,2.32,4.51,#847b75,photo_extracted,GRAY_GROUP_201A.JPG
201B,GRAY_201B,GRAY,149,140,136,58.9,2.61,3.33,#958c88,photo_extracted,GRAY_GROUP_201B.JPG
201C,GRAY_201C,GRAY,164,156,155,64.99,2.72,1.56,#a49c9b,photo_extracted,GRAY_GROUP_201C.JPG
201D,GRAY_201D,GRAY,170,167,167,68.73,1.07,0.38,#aaa7a7,photo_extracted,GRAY_GROUP_201D.JPG
157A,GREENWHITE_157A,GREENWHITE,203,205,200,82.13,-1.59,2.24,#cbcdc8,photo_extracted,GREEN-WHITE_GROUP_157A.JPG
157B,GREENWHITE_157B,GREENWHITE,198,202,199,80.94,-1.92,1.01,#c6cac7,photo_extracted,GREEN-WHITE_GROUP_157B.JPG
157C,GREENWHITE_157C,GREENWHITE,193,199,200,79.81,-1.87,-1.22,#c1c7c8,photo_extracted,GREEN-WHITE_GROUP_157C.JPG
157D,GREENWHITE_157D,GREENWHITE,195,200,208,80.44,-0.19,-4.58,#c3c8d0,photo_extracted,GREEN-WHITE_GROUP_157D.JPG
1A,GREENYELLOW_1A,GREENYELLOW,215,215,93,83.88,-15.64,58.87,#d7d75d,photo_extracted,GREENYELLOW_GROUP_1A.JPG
1B,GREENYELLOW_1B,GREENYELLOW,207,209,103,81.75,-15.1,51.73,#cfd167,photo_extracted,GREENYELLOW_GROUP_1B.JPG
1C,GREENYELLOW_1C,GREENYELLOW,208,208,146,82.16,-9.62,30.88,#d0d092,photo_extracted,GREENYELLOW_GROUP_1C.JPG
1D,GREENYELLOW_1D,GREENYELLOW,216,211,160,83.82,-6.28,25.95,#d8d3a0,photo_extracted,GREENYELLOW_GROUP_1D.JPG
125A,GREEN_125A,GREEN,55,164,148,61.22,-34.49,-0.72,#37a494,photo_extracted,GREEN_GROUP_125A.JPG
125B,GREEN_125B,GREEN,65,182,165,67.5,-36.59,-0.97,#41b6a5,photo_extracted,GREEN_GROUP_125B.JPG
125C,GREEN_125C,GREEN,117,203,191,76.22,-28.88,-2.16,#75cbbf,photo_extracted,GREEN_GROUP_125C.JPG
125D,GREEN_125D,GREEN,150,211,201,80.34,-21.53,-1.31,#96d3c9,photo_extracted,GREEN_GROUP_125D.JPG
126A,GREEN_126A,GREEN,47,101,96,39.17,-19.24,-2.66,#2f6560,photo_extracted,GREEN_GROUP_126A.JPG
126B,GREEN_126B,GREEN,50,122,118,46.85,-23.29,-4.56,#327a76,photo_extracted,GREEN_GROUP_126B.JPG
126C,GREEN_126C,GREEN,62,135,131,51.83,-23.69,-4.79,#3e8783,photo_extracted,GREEN_GROUP_126C.JPG
126D,GREEN_126D,GREEN,100,163,159,62.85,-21.19,-4.32,#64a39f,photo_extracted,GREEN_GROUP_126D.JPG
127A,GREEN_127A,GREEN,52,112,102,43.18,-22.16,-0.39,#347066,photo_extracted,GREEN_GROUP_127A.JPG
127B,GREEN_127B,GREEN,60,142,127,53.85,-28.72,0.5,#3c8e7f,photo_extracted,GREEN_GROUP_127B.JPG
127C,GREEN_127C,GREEN,69,163,144,61.2,-32.48,1.55,#45a390,photo_extracted,GREEN_GROUP_127C.JPG
127D,GREEN_127D,GREEN,101,178,162,67.44,-27.72,0.75,#65b2a2,photo_extracted,GREEN_GROUP_127D.JPG
128A,GREEN_128A,GREEN,54,157,126,58.42,-37.17,7.63,#369d7e,photo_extracted,GREEN_GROUP_128A.JPG
128B,GREEN_128B,GREEN,104,176,155,66.79,-27.58,3.7,#68b09b,photo_extracted,GREEN_GROUP_128B.JPG
128C,GREEN_128C,GREEN,139,192,174,73.7,-21.12,3.5,#8bc0ae,photo_extracted,GREEN_GROUP_128C.JPG
128D,GREEN_128D,GREEN,190,206,196,81.33,-7.3,3.11,#becec4,photo_extracted,GREEN_GROUP_128D.JPG
130A,GREEN_130A,GREEN,89,177,121,65.71,-39.3,20.73,#59b179,photo_extracted,GREEN_GROUP_130A.JPG
130B,GREEN_130B,GREEN,124,190,148,71.72,-30.03,14.68,#7cbe94,photo_extracted,GREEN_GROUP_130B.JPG
130C,GREEN_130C,GREEN,149,195,165,74.91,-21.27,10.19,#95c3a5,photo_extracted,GREEN_GROUP_130C.JPG
130D,GREEN_130D,GREEN,191,207,189,81.5,-8.75,7.1,#bfcfbd,photo_extracted,GREEN_GROUP_130D.JPG
131A,GREEN_131A,GREEN,27,69,60,26.2,-17.23,1.02,#1b453c,photo_extracted,GREEN_GROUP_131A.JPG
131B,GREEN_131B,GREEN,18,84,53,31.17,-28.53,12.44,#125435,photo_extracted,GREEN_GROUP_131B.JPG
131C,GREEN_131C,GREEN,23,93,60,34.67,-30.05,12.92,#175d3c,photo_extracted,GREEN_GROUP_131C.JPG
