class_label,precision,recall,f1,support
BLACK_202A,1.0,1.0,1.0,10
BLACK_202B,0.9091,1.0,0.9524,10
BLACK_202C,1.0,0.9,0.9474,10
BLACK_202D,0.8,0.8,0.8,10
BLACK_203A,1.0,1.0,1.0,10
BLACK_203B,1.0,1.0,1.0,10
BLACK_203C,1.0,1.0,1.0,10
BLACK_203D,0.9091,1.0,0.9524,10
BLUEGREEN_111A,0.8182,0.9,0.8571,10
BLUEGREEN_111B,0.5,0.2,0.2857,10
BLUEGREEN_111C,0.4615,0.6,0.5217,10
BLUEGREEN_111D,0.75,0.9,0.8182,10
BLUEGREEN_112A,0.7143,1.0,0.8333,10
BLUEGREEN_112B,1.0,0.6,0.75,10
BLUEGREEN_112C,0.7778,0.7,0.7368,10
BLUEGREEN_112D,0.8,0.8,0.8,10
BLUEGREEN_113A,1.0,0.9,0.9474,10
BLUEGREEN_113B,0.8889,0.8,0.8421,10
BLUEGREEN_113C,0.6364,0.7,0.6667,10
BLUEGREEN_113D,0.7273,0.8,0.7619,10
BLUEGREEN_114A,1.0,1.0,1.0,10
BLUEGREEN_114B,0.9091,1.0,0.9524,10
BLUEGREEN_114C,0.7,0.7,0.7,10
BLUEGREEN_114D,0.6667,0.8,0.7273,10
BLUEGREEN_115A,0.6429,0.9,0.75,10
BLUEGREEN_115B,0.8889,0.8,0.8421,10
BLUEGREEN_115C,1.0,0.9,0.9474,10
BLUEGREEN_115D,0.9,0.9,0.9,10
BLUEGREEN_116A,0.9091,1.0,0.9524,10
BLUEGREEN_116B,0.9091,1.0,0.9524,10
BLUEGREEN_116C,1.0,0.7,0.8235,10
BLUEGREEN_116D,0.7778,0.7,0.7368,10
BLUEGREEN_117A,0.8889,0.8,0.8421,10
BLUEGREEN_117B,0.8,0.8,0.8,10
BLUEGREEN_117C,0.5333,0.8,0.64,10
BLUEGREEN_117D,1.0,0.7,0.8235,10
BLUEGREEN_118A,1.0,1.0,1.0,10
BLUEGREEN_118B,1.0,1.0,1.0,10
BLUEGREEN_118C,0.8333,1.0,0.9091,10
BLUEGREEN_118D,0.875,0.7,0.7778,10
BLUEGREEN_119A,1.0,0.8,0.8889,10
BLUEGREEN_119B,0.9,0.9,0.9,10
BLUEGREEN_119C,0.7692,1.0,0.8696,10
BLUEGREEN_119D,0.8889,0.8,0.8421,10
BLUEGREEN_120A,0.8182,0.9,0.8571,10
BLUEGREEN_120B,0.875,0.7,0.7778,10
BLUEGREEN_120C,0.8182,0.9,0.8571,10
BLUEGREEN_120D,0.7692,1.0,0.8696,10
BLUEGREEN_121A,0.8333,1.0,0.9091,10
BLUEGREEN_121B,0.875,0.7,0.7778,10
BLUEGREEN_121C,1.0,0.7,0.8235,10
BLUEGREEN_121D,0.5833,0.7,0.6364,10
BLUEGREEN_122A,1.0,0.8,0.8889,10
BLUEGREEN_122B,0.6667,0.8,0.7273,10
BLUEGREEN_122C,0.75,0.9,0.8182,10
BLUEGREEN_122D,0.6,0.6,0.6,10
BLUEGREEN_123A,0.9091,1.0,0.9524,10
BLUEGREEN_123B,0.6923,0.9,0.7826,10
BLUEGREEN_123C,0.9091,1.0,0.9524,10
BLUEGREEN_123D,0.8182,0.9,0.8571,10
BLUEGREEN_124A,0.9091,1.0,0.9524,10
BLUEGREEN_124B,1.0,0.9,0.9474,10
BLUEGREEN_124C,1.0,0.7,0.8235,10
BLUEGREEN_124D,0.8,0.8,0.8,10
BLUE_100A,0.8333,1.0,0.9091,10
BLUE_100B,1.0,1.0,1.0,10
BLUE_100C,1.0,1.0,1.0,10
BLUE_100D,1.0,0.5,0.6667,10
BLUE_101A,0.9091,1.0,0.9524,10
BLUE_101B,1.0,1.0,1.0,10
BLUE_101C,1.0,0.7,0.8235,10
BLUE_101D,1.0,1.0,1.0,10
BLUE_102A,1.0,1.0,1.0,10
BLUE_102B,0.9091,1.0,0.9524,10
BLUE_102C,1.0,0.8,0.8889,10
BLUE_102D,0.9091,1.0,0.9524,10
BLUE_103A,1.0,1.0,1.0,10
BLUE_103B,1.0,0.9,0.9474,10
BLUE_103C,1.0,0.8,0.8889,10
BLUE_103D,0.8333,1.0,0.9091,10
BLUE_104A,0.75,0.9,0.8182,10
BLUE_104B,1.0,0.9,0.9474,10
BLUE_104C,0.9091,1.0,0.9524,10
BLUE_104D,1.0,0.8,0.8889,10
BLUE_105A,1.0,0.9,0.9474,10
BLUE_105B,0.875,0.7,0.7778,10
BLUE_105C,1.0,1.0,1.0,10
BLUE_105D,1.0,1.0,1.0,10
BLUE_106A,1.0,1.0,1.0,10
BLUE_106B,0.7143,1.0,0.8333,10
BLUE_106C,1.0,0.8,0.8889,10
BLUE_106D,0.6364,0.7,0.6667,10
BLUE_107A,1.0,0.6,0.75,10
BLUE_107B,0.9091,1.0,0.9524,10
BLUE_107C,1.0,0.7,0.8235,10
BLUE_107D,0.9091,1.0,0.9524,10
BLUE_108A,1.0,0.9,0.9474,10
BLUE_108B,0.75,0.9,0.8182,10
BLUE_108C,0.9091,1.0,0.9524,10
BLUE_108D,0.9091,1.0,0.9524,10
BLUE_110A,0.9,0.9,0.9,10
BLUE_110B,0.9,0.9,0.9,10
BLUE_110C,0.9091,1.0,0.9524,10
BLUE_110D,0.9091,1.0,0.9524,10
BLUE_99A,0.9091,1.0,0.9524,10
BLUE_99B,1.0,0.9,0.9474,10
BLUE_99C,0.8889,0.8,0.8421,10
BLUE_99D,1.0,0.9,0.9474,10
BLUE_N109A,0.9091,1.0,0.9524,10
BLUE_N109B,1.0,1.0,1.0,10
BLUE_N109C,1.0,1.0,1.0,10
BLUE_N109D,1.0,0.6,0.75,10
BROWN_200A,1.0,1.0,1.0,10
BROWN_200B,0.9091,1.0,0.9524,10
BROWN_200C,1.0,0.9,0.9474,10
BROWN_200D,1.0,1.0,1.0,10
GRAY_201A,0.9091,1.0,0.9524,10
GRAY_201B,0.9,0.9,0.9,10
GRAY_201C,0.8333,1.0,0.9091,10
GRAY_201D,1.0,1.0,1.0,10
GREENWHITE_157A,0.8,0.8,0.8,10
